epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,781.28,1.15935,2.47702,1.12295,1.55776,0.92367,0.83786,0.94268,0.68784,0.92367,0.83786,0.91469,0.62089,0.88084,1.61362,0.67006,1.40918,0.000571,0.000571,0.000571
67,792.711,1.04221,2.1357,0.98123,1.489,0.94133,0.88712,0.94699,0.70421,0.92718,0.87533,0.91961,0.64008,0.8669,1.57567,0.59916,1.40845,0.0005644,0.0005644,0.0005644
68,804.022,1.10039,2.36167,1.08072,1.53499,0.96352,0.89157,0.94894,0.67685,0.95005,0.8799,0.92125,0.63052,0.90956,1.53356,0.6653,1.43644,0.0005578,0.0005578,0.0005578
69,815.797,1.10163,2.42159,1.07401,1.49262,0.93654,0.94039,0.96353,0.69047,0.91554,0.91351,0.94082,0.64597,0.86359,1.54266,0.618,1.38618,0.0005512,0.0005512,0.0005512
70,827.821,1.08952,2.28237,1.06638,1.50126,0.96074,0.9105,0.96085,0.69712,0.96669,0.89911,0.94822,0.67139,0.84186,1.44429,0.61372,1.34881,0.0005446,0.0005446,0.0005446
71,839.453,1.03805,2.32781,1.12654,1.49453,0.87641,0.91615,0.95546,0.70581,0.8636,0.90572,0.93769,0.64641,0.81566,1.51529,0.63783,1.35181,0.000538,0.000538,0.000538
72,851.234,1.0545,2.142,1.06557,1.45751,0.94366,0.90476,0.95322,0.68824,0.94366,0.90476,0.95832,0.66298,0.90233,1.50417,0.5939,1.43362,0.0005314,0.0005314,0.0005314
73,863.059,1.07333,2.19434,1.02849,1.51033,0.95042,0.86905,0.94993,0.66176,0.95042,0.86905,0.95172,0.66435,0.97719,1.54074,0.65397,1.51587,0.0005248,0.0005248,0.0005248
74,875.154,1.09771,2.45675,1.13082,1.49866,0.91206,0.8795,0.94944,0.71148,0.91206,0.8795,0.95218,0.66012,0.82234,1.48943,0.59607,1.37297,0.0005182,0.0005182,0.0005182
75,886.928,0.97099,2.16302,1.03333,1.42103,0.91436,0.90643,0.94989,0.72525,0.8971,0.91303,0.9408,0.6637,0.80361,1.47746,0.5576,1.3383,0.0005116,0.0005116,0.0005116
76,898.658,1.04102,2.15721,1.06675,1.47396,0.91407,0.93582,0.9473,0.69658,0.89373,0.92826,0.94331,0.64378,0.82508,1.45921,0.58517,1.40844,0.000505,0.000505,0.000505
77,910.26,1.09775,2.3598,1.08521,1.53459,0.96258,0.90374,0.96132,0.70358,0.94979,0.89247,0.94372,0.63352,0.84082,1.5248,0.57915,1.41408,0.0004984,0.0004984,0.0004984
78,921.841,1.10781,2.56332,1.09161,1.52565,0.9339,0.93902,0.9721,0.71912,0.92192,0.92712,0.96381,0.66934,0.86526,1.48249,0.53851,1.43411,0.0004918,0.0004918,0.0004918
79,933.704,0.99636,2.06656,0.94788,1.44371,0.93813,0.89156,0.94604,0.71516,0.92328,0.87981,0.93531,0.65161,0.84816,1.45436,0.62528,1.38723,0.0004852,0.0004852,0.0004852
80,945.19,1.0291,2.25398,0.98842,1.48745,0.9268,0.9475,0.97564,0.71856,0.91554,0.9356,0.96563,0.68834,0.86716,1.42286,0.5333,1.3626,0.0004786,0.0004786,0.0004786
81,956.565,0.98179,2.13138,0.95383,1.40167,0.81988,0.92309,0.95991,0.7229,0.80957,0.91104,0.95016,0.66686,0.82465,1.51081,0.63502,1.33227,0.000472,0.000472,0.000472
82,968.188,1.04316,2.29356,1.0788,1.48343,0.90249,0.90484,0.94835,0.72859,0.90249,0.90484,0.9448,0.66682,0.79631,1.63484,0.58839,1.3136,0.0004654,0.0004654,0.0004654
83,979.671,0.97739,2.15685,1.00115,1.45131,0.9368,0.8655,0.94494,0.73171,0.94757,0.85097,0.92368,0.62798,0.81551,1.70564,0.60344,1.32581,0.0004588,0.0004588,0.0004588
84,991.779,1.05418,2.20356,1.10654,1.45969,0.94112,0.94048,0.96952,0.74067,0.94897,0.92434,0.96172,0.68735,0.79762,1.42814,0.5233,1.30578,0.0004522,0.0004522,0.0004522
85,1003.69,1.05177,2.21821,1.00134,1.48019,0.96047,0.89286,0.97446,0.75493,0.96047,0.89286,0.95182,0.67649,0.76946,1.47454,0.52726,1.28914,0.0004456,0.0004456,0.0004456
86,1015.32,1.0813,2.19613,1.02424,1.50954,0.94177,0.96891,0.98324,0.76166,0.94177,0.96891,0.98271,0.68495,0.74747,1.45792,0.48243,1.28269,0.000439,0.000439,0.000439
87,1027.17,0.97468,2.1004,0.9122,1.45194,0.94328,0.95894,0.98101,0.76867,0.93064,0.94715,0.9616,0.67378,0.73087,1.4744,0.50061,1.25793,0.0004324,0.0004324,0.0004324
88,1039.06,0.95203,2.12472,0.921,1.41139,0.91967,0.93914,0.95601,0.71898,0.9169,0.89286,0.93147,0.66488,0.7788,1.45445,0.57481,1.30883,0.0004258,0.0004258,0.0004258
89,1050.68,0.92582,2.14615,0.90554,1.33493,0.92577,0.95354,0.98574,0.73892,0.95131,0.8893,0.95428,0.70269,0.81483,1.44009,0.53065,1.32654,0.0004192,0.0004192,0.0004192
90,1062.18,1.00296,2.11365,0.93927,1.45371,0.97115,0.95002,0.98147,0.74335,0.95471,0.95852,0.96406,0.68734,0.818,1.39311,0.47854,1.34469,0.0004126,0.0004126,0.0004126
91,1073.49,1.03409,2.17236,0.98325,1.46552,0.95648,0.9397,0.97601,0.73837,0.95648,0.9397,0.97659,0.68527,0.80936,1.46017,0.49107,1.32781,0.000406,0.000406,0.000406
92,1085.41,1.05409,2.24518,1.03487,1.5207,0.9881,0.91491,0.97723,0.73845,0.9881,0.91491,0.97297,0.67297,0.7971,1.53066,0.50401,1.30184,0.0003994,0.0003994,0.0003994
93,1097.3,0.97046,2.11591,0.90649,1.39333,0.96836,0.93491,0.97104,0.74053,0.96836,0.93491,0.96249,0.65937,0.76718,1.54058,0.5099,1.2953,0.0003928,0.0003928,0.0003928
94,1109.01,0.9235,2.01477,0.82949,1.41065,0.93877,0.94747,0.96708,0.72995,0.92524,0.924,0.9517,0.67099,0.77631,1.48587,0.49136,1.32841,0.0003862,0.0003862,0.0003862
95,1120.48,0.98425,2.11635,0.90167,1.39938,0.95757,0.93125,0.95836,0.74988,0.95757,0.93125,0.9664,0.6636,0.78456,1.57888,0.47879,1.3362,0.0003796,0.0003796,0.0003796
96,1132.23,0.97312,2.07294,0.84981,1.38856,0.95313,0.86839,0.93317,0.73474,0.96254,0.86373,0.92832,0.65914,0.773,1.64447,0.53751,1.29818,0.000373,0.000373,0.000373
97,1143.72,0.89789,1.98561,0.89195,1.35496,0.92812,0.91667,0.94022,0.7236,0.94141,0.88172,0.9259,0.65456,0.8198,1.4881,0.55339,1.35432,0.0003664,0.0003664,0.0003664
98,1155.45,0.94466,2.00908,0.9419,1.42003,0.94791,0.92589,0.96117,0.75173,0.93524,0.9141,0.96291,0.68117,0.78799,1.42284,0.48095,1.33834,0.0003598,0.0003598,0.0003598
99,1166.84,0.98289,2.13014,0.95406,1.39189,0.99681,0.92869,0.96638,0.75593,0.9844,0.91684,0.95186,0.69538,0.76411,1.37014,0.4821,1.29792,0.0003532,0.0003532,0.0003532
100,1179.06,0.96971,2.08841,0.89077,1.43438,0.9518,0.95238,0.97003,0.75596,0.94043,0.94048,0.9594,0.70229,0.72763,1.37269,0.48271,1.24598,0.0003466,0.0003466,0.0003466
101,1190.79,0.99829,1.92179,0.93163,1.44453,0.95228,0.93073,0.96086,0.72942,0.94108,0.919,0.95137,0.6885,0.83196,1.34135,0.51076,1.36776,0.00034,0.00034,0.00034
102,1202.08,0.88416,2.06586,0.84394,1.32501,0.93572,0.94663,0.95751,0.7538,0.93572,0.94663,0.96274,0.69389,0.75268,1.3569,0.49662,1.25601,0.0003334,0.0003334,0.0003334
103,1213.76,0.96535,2.06731,0.92111,1.37954,0.94971,0.94787,0.97308,0.77851,0.93768,0.9361,0.9663,0.69503,0.72163,1.38234,0.45532,1.25764,0.0003268,0.0003268,0.0003268
104,1225.55,0.98441,2.08076,0.93312,1.42673,0.92837,0.89555,0.96064,0.74927,0.91431,0.88382,0.94971,0.67996,0.74855,1.4527,0.54398,1.26424,0.0003202,0.0003202,0.0003202
105,1236.92,0.87521,1.87101,0.82597,1.33704,0.89113,0.91231,0.95964,0.73762,0.89113,0.91231,0.94856,0.67359,0.77892,1.4324,0.5642,1.31369,0.0003136,0.0003136,0.0003136
106,1249.2,0.95138,2.05377,0.96278,1.43095,0.92881,0.88998,0.97023,0.73845,0.92881,0.88998,0.97004,0.68888,0.74941,1.38931,0.53362,1.28059,0.000307,0.000307,0.000307
107,1260.16,0.91901,1.82945,0.79552,1.3533,0.89865,0.93532,0.96119,0.74444,0.94979,0.87312,0.95542,0.67451,0.77419,1.3995,0.53599,1.27461,0.0003004,0.0003004,0.0003004
108,1271.36,0.94861,1.98565,0.82857,1.36782,0.93348,0.95279,0.97961,0.77461,0.92142,0.93825,0.97454,0.70117,0.71992,1.38996,0.48929,1.23265,0.0002938,0.0002938,0.0002938
109,1282.91,0.88388,1.88146,0.76846,1.35284,0.98576,0.97567,0.98864,0.78373,0.97304,0.94579,0.97702,0.70771,0.70218,1.34191,0.44075,1.22214,0.0002872,0.0002872,0.0002872
110,1294.31,0.94979,2.04612,0.91344,1.39502,0.98408,0.95102,0.99118,0.78624,0.97345,0.93876,0.97819,0.70981,0.70764,1.33432,0.43738,1.22032,0.0002806,0.0002806,0.0002806
