epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,485.704,0.81296,1.63781,0.92804,1.05203,0.93419,0.95213,0.98141,0.79819,0.96799,0.91105,0.96665,0.68701,0.96895,2.55171,1.01491,1.18527,0.000962146,0.000962146,0.000962146
68,492.777,0.85936,1.68103,0.93213,1.06742,0.98268,0.95643,0.98116,0.79366,0.97041,0.94452,0.9597,0.69207,0.98596,2.35017,0.89334,1.20209,0.000955072,0.000955072,0.000955072
69,499.9,0.83029,1.69727,0.91324,1.05539,0.97786,0.9588,0.9806,0.79928,0.96737,0.93574,0.95757,0.70918,0.98645,2.66532,0.8541,1.19012,0.000947999,0.000947999,0.000947999
70,507.038,0.84668,1.68706,0.92654,1.05548,0.96636,0.95855,0.98113,0.80314,0.94116,0.93503,0.94555,0.70497,0.9543,2.77665,0.8483,1.17849,0.000940925,0.000940925,0.000940925
71,514.22,0.85452,1.75153,1.00801,1.07306,0.94427,0.952,0.9822,0.80637,0.91951,0.92822,0.94916,0.69408,1.00098,2.84614,0.96191,1.20043,0.000933851,0.000933851,0.000933851
72,521.492,0.84369,1.64367,0.92287,1.06005,0.97346,0.93428,0.9815,0.80272,0.94709,0.91058,0.93745,0.66899,1.01751,3.24031,0.87573,1.2471,0.000926778,0.000926778,0.000926778
73,528.748,0.77995,1.68008,0.87073,1.03368,0.96775,0.93121,0.98031,0.80935,0.95415,0.9193,0.9454,0.70201,0.9661,2.69603,0.88847,1.22278,0.000919704,0.000919704,0.000919704
74,535.905,0.80036,1.65069,0.86824,1.02174,0.94956,0.97619,0.98352,0.81313,0.94758,0.92857,0.94707,0.70096,0.9818,2.83632,0.83791,1.22493,0.000912631,0.000912631,0.000912631
75,543.072,0.83498,1.682,0.92473,1.06381,0.96996,0.98574,0.98623,0.80435,0.94808,0.94276,0.94929,0.68521,1.01672,2.83033,0.86921,1.23839,0.000905557,0.000905557,0.000905557
76,550.216,0.8235,1.60225,0.85363,1.04085,0.94235,0.97263,0.97915,0.8008,0.93801,0.90476,0.92681,0.67919,1.0052,2.97249,0.92305,1.23829,0.000898484,0.000898484,0.000898484
77,557.3,0.81271,1.67792,0.88615,1.03414,0.9602,0.96386,0.97775,0.78264,0.93313,0.8939,0.93042,0.65115,1.06352,3.50434,0.98613,1.27082,0.00089141,0.00089141,0.00089141
78,564.461,0.82999,1.67949,0.90977,1.06596,0.9754,0.94276,0.97142,0.7861,0.94921,0.91904,0.94348,0.67648,1.04533,3.02218,0.91978,1.2319,0.000884337,0.000884337,0.000884337
79,571.565,0.75459,1.50769,0.89417,1.02281,0.98579,0.94178,0.96849,0.80365,0.98579,0.94178,0.96532,0.6965,1.00267,2.81112,0.8412,1.20556,0.000877263,0.000877263,0.000877263
80,578.779,0.80655,1.60497,0.89618,1.05323,0.98003,0.92184,0.97271,0.79652,0.98003,0.92184,0.96384,0.70359,0.98861,2.631,0.88841,1.2076,0.00087019,0.00087019,0.00087019
81,585.925,0.77342,1.54935,0.88959,1.02936,0.97165,0.96189,0.98359,0.81059,0.97165,0.96189,0.97364,0.70042,0.97009,2.74096,0.83289,1.22345,0.000863116,0.000863116,0.000863116
82,593.113,0.75281,1.51265,0.83884,1.03288,0.97903,0.93377,0.9749,0.80785,0.96513,0.92191,0.9678,0.69631,1.01206,2.87012,0.92783,1.24598,0.000856042,0.000856042,0.000856042
83,600.237,0.79245,1.72197,0.90055,1.03742,0.98022,0.92857,0.97275,0.8065,0.96638,0.91667,0.96375,0.6727,0.94152,2.73543,0.84615,1.18509,0.000848969,0.000848969,0.000848969
84,607.363,0.82861,1.60514,0.91091,1.06326,0.97362,0.94048,0.9776,0.79476,0.95964,0.92857,0.95951,0.69237,0.98574,2.77465,0.82964,1.20567,0.000841895,0.000841895,0.000841895
85,614.499,0.72708,1.45523,0.80232,1.013,0.9801,0.93183,0.97657,0.80126,0.96636,0.91993,0.95913,0.68672,1.00387,2.63069,0.82206,1.22744,0.000834822,0.000834822,0.000834822
86,621.63,0.77566,1.46406,0.84307,1.03362,0.99418,0.94235,0.98596,0.79609,0.98038,0.93044,0.96506,0.68602,0.99408,2.52445,0.86384,1.23551,0.000827748,0.000827748,0.000827748
87,628.834,0.7807,1.5756,0.84771,1.04197,0.97842,0.97384,0.98547,0.80253,0.97048,0.95178,0.96997,0.69624,0.97344,2.55522,0.82109,1.20123,0.000820675,0.000820675,0.000820675
88,635.995,0.71973,1.48551,0.80485,1.01643,0.98971,0.9453,0.97722,0.80504,0.96895,0.91542,0.94816,0.70063,0.97499,2.63676,0.88506,1.17711,0.000813601,0.000813601,0.000813601
89,643.251,0.74897,1.56011,0.84818,1.00611,0.97704,0.95238,0.97838,0.79065,0.96592,0.94048,0.96653,0.68836,0.96246,2.78687,0.82767,1.20418,0.000806528,0.000806528,0.000806528
90,650.538,0.79501,1.67961,0.89801,1.02403,0.99169,0.95155,0.97442,0.80824,0.97791,0.93982,0.95568,0.70975,0.96409,2.91662,0.82104,1.1949,0.000799454,0.000799454,0.000799454
91,657.765,0.76788,1.46278,0.83606,1.01842,0.97706,0.96262,0.97507,0.80696,0.96441,0.95071,0.96117,0.71156,0.9694,2.59108,0.82028,1.20962,0.00079238,0.00079238,0.00079238
92,665.026,0.78864,1.59813,0.8564,1.0572,0.93826,0.91936,0.96821,0.79082,0.92521,0.90746,0.96276,0.68876,1.00403,2.86434,0.96778,1.2118,0.000785307,0.000785307,0.000785307
93,672.118,0.77041,1.50548,0.84482,1.03102,0.97243,0.96033,0.9778,0.79017,0.95943,0.94842,0.96889,0.68098,0.99784,2.76685,0.85094,1.23496,0.000778233,0.000778233,0.000778233
94,679.225,0.76129,1.48312,0.84035,1.02041,0.96544,0.93175,0.97157,0.80679,0.95215,0.91985,0.96141,0.6845,0.98467,2.89005,0.94665,1.24958,0.00077116,0.00077116,0.00077116
95,686.328,0.76995,1.47709,0.85592,1.02162,0.9816,0.93521,0.97928,0.79671,0.96822,0.92334,0.96029,0.68228,0.97953,2.85085,0.88541,1.21824,0.000764086,0.000764086,0.000764086
96,693.377,0.76534,1.47675,0.82504,1.02238,0.96429,0.9498,0.96742,0.80213,0.95099,0.93802,0.95488,0.69266,1.02114,2.58177,0.95653,1.22249,0.000757013,0.000757013,0.000757013
97,700.487,0.73563,1.43387,0.8379,1.01539,0.98048,0.93935,0.97974,0.80169,0.96694,0.92773,0.95724,0.69726,0.98134,2.70024,0.94563,1.19959,0.000749939,0.000749939,0.000749939
98,707.626,0.71833,1.53516,0.80392,1.0166,0.96482,0.94048,0.97826,0.79418,0.95164,0.92857,0.95449,0.679,1.01169,2.92358,0.95604,1.21683,0.000742866,0.000742866,0.000742866
99,714.723,0.67398,1.34559,0.76418,0.98613,0.98098,0.91938,0.97822,0.80725,0.96692,0.90772,0.96409,0.67585,0.96516,2.75804,0.89059,1.18449,0.000735792,0.000735792,0.000735792
100,722.899,0.70803,1.44037,0.75761,1.00189,0.9347,0.952,0.9777,0.78555,0.92234,0.94011,0.96147,0.69477,0.98436,2.80414,0.88157,1.22196,0.000728719,0.000728719,0.000728719
101,730.108,0.73777,1.44506,0.79122,1.01926,0.97878,0.91703,0.97551,0.786,0.97878,0.91703,0.97551,0.7071,1.03592,2.82165,0.90012,1.26297,0.000721645,0.000721645,0.000721645
102,737.261,0.74357,1.47141,0.81732,1.00618,0.92879,0.96429,0.97404,0.80387,0.91665,0.95238,0.96437,0.69596,0.95617,2.73336,0.84801,1.19859,0.000714571,0.000714571,0.000714571
103,744.446,0.70869,1.47842,0.78727,1.00079,0.97684,0.95219,0.96782,0.79982,0.97105,0.90518,0.94676,0.70157,0.95647,2.7111,0.85935,1.19225,0.000707498,0.000707498,0.000707498
104,751.609,0.7362,1.46196,0.79784,1.00878,0.97749,0.93662,0.96827,0.79176,0.97749,0.93662,0.96495,0.69917,0.96046,2.47775,0.92207,1.20906,0.000700424,0.000700424,0.000700424
105,758.79,0.75128,1.50089,0.80357,1.01585,0.97847,0.92163,0.97621,0.78899,0.92438,0.92857,0.94687,0.6946,0.96772,2.78373,0.88695,1.19557,0.000693351,0.000693351,0.000693351
106,766.043,0.72945,1.49586,0.8138,1.00483,0.9808,0.92231,0.97829,0.79048,0.95396,0.8985,0.93934,0.68256,0.93693,2.96853,0.82934,1.18391,0.000686277,0.000686277,0.000686277
107,773.231,0.68771,1.37024,0.77417,0.99289,0.97695,0.91476,0.97887,0.79213,0.96329,0.90286,0.94394,0.67626,0.97596,2.92028,0.85418,1.23927,0.000679204,0.000679204,0.000679204
108,780.44,0.69478,1.35903,0.77719,0.99248,0.98452,0.92117,0.97833,0.80027,0.97084,0.90927,0.94734,0.68806,0.97035,2.63183,0.84095,1.24661,0.00067213,0.00067213,0.00067213
109,787.597,0.68183,1.40694,0.75536,1.00821,0.98123,0.93788,0.98344,0.8002,0.96768,0.92597,0.94839,0.69189,0.97962,2.59234,0.78238,1.24135,0.000665057,0.000665057,0.000665057
110,794.817,0.66787,1.32638,0.76057,0.99344,0.99215,0.97325,0.97445,0.80399,0.97929,0.96147,0.96706,0.6954,0.99285,2.84555,0.83557,1.23734,0.000657983,0.000657983,0.000657983
111,802.007,0.67347,1.40246,0.71155,0.99099,0.99315,0.95841,0.97196,0.80907,0.9798,0.94653,0.9581,0.70359,0.99464,2.82659,0.85098,1.23429,0.000650909,0.000650909,0.000650909
112,809.21,0.68833,1.36658,0.77467,1.00846,0.98995,0.95184,0.97843,0.79592,0.9765,0.94016,0.95191,0.69323,0.93442,2.8926,0.80578,1.20762,0.000643836,0.000643836,0.000643836
113,816.321,0.67789,1.40983,0.75989,0.98673,0.98442,0.94862,0.97778,0.79331,0.97101,0.93676,0.95229,0.70025,0.98898,2.83453,0.8288,1.23334,0.000636762,0.000636762,0.000636762
114,823.468,0.68884,1.38889,0.71819,0.99076,0.98048,0.93185,0.97077,0.7988,0.96675,0.91994,0.95181,0.7114,0.9617,2.73055,0.85179,1.20012,0.000629689,0.000629689,0.000629689
115,830.57,0.68335,1.37494,0.76115,0.99512,0.94342,0.96402,0.98096,0.80324,0.95079,0.90729,0.94566,0.70407,0.97558,2.77963,0.83624,1.18187,0.000622615,0.000622615,0.000622615
116,837.723,0.67982,1.37223,0.72776,0.98081,0.98396,0.93728,0.98317,0.81068,0.98672,0.93434,0.97179,0.70648,0.92941,2.7377,0.82744,1.16415,0.000615542,0.000615542,0.000615542
117,844.943,0.70526,1.42834,0.76971,1.01571,0.9863,0.94604,0.9755,0.81212,0.9863,0.94604,0.97285,0.72005,0.96684,2.75576,0.79195,1.18824,0.000608468,0.000608468,0.000608468
118,852.173,0.70005,1.39423,0.74994,0.99252,0.99057,0.93394,0.97009,0.83158,0.97664,0.92212,0.95048,0.71147,0.89355,2.81803,0.84016,1.13121,0.000601395,0.000601395,0.000601395
119,859.321,0.68833,1.37477,0.76523,1.00545,0.96949,0.92549,0.96836,0.81783,0.95595,0.91365,0.95108,0.71322,0.93523,2.69457,0.87805,1.16309,0.000594321,0.000594321,0.000594321
120,866.38,0.65971,1.37341,0.76947,0.97659,0.9804,0.94958,0.97028,0.8062,0.96759,0.9377,0.95514,0.70506,0.95365,2.69819,0.84365,1.16706,0.000587248,0.000587248,0.000587248
121,873.485,0.68557,1.34457,0.74903,0.98621,0.98702,0.9853,0.98616,0.8107,0.977,0.96429,0.95983,0.70489,0.90505,2.59363,0.76312,1.14099,0.000580174,0.000580174,0.000580174
122,880.672,0.68717,1.43608,0.75584,0.98528,0.98097,0.96393,0.97383,0.8179,0.96807,0.95209,0.96869,0.71384,0.88428,2.80278,0.78325,1.12128,0.0005731,0.0005731,0.0005731
123,887.788,0.67922,1.34016,0.78738,0.97512,0.96945,0.96242,0.9739,0.81227,0.94432,0.93875,0.95834,0.71324,0.90119,2.88429,0.78271,1.13007,0.000566027,0.000566027,0.000566027
124,894.923,0.67771,1.34726,0.7533,0.97957,0.96971,0.96908,0.98078,0.81814,0.94361,0.94539,0.9592,0.70326,0.92564,3.22899,0.83233,1.15208,0.000558953,0.000558953,0.000558953
125,902.022,0.67237,1.25391,0.70324,0.99048,0.95439,0.97162,0.9803,0.82135,0.94862,0.95238,0.9594,0.70378,0.89363,3.24559,0.74038,1.13986,0.00055188,0.00055188,0.00055188
126,909.197,0.64712,1.26142,0.70406,0.96955,0.97143,0.95088,0.97553,0.82378,0.95822,0.93905,0.95077,0.70627,0.90951,3.10251,0.81412,1.1498,0.000544806,0.000544806,0.000544806
127,916.318,0.70781,1.35492,0.79076,1.00934,0.96925,0.94222,0.9647,0.81486,0.95598,0.93036,0.95505,0.69693,0.87575,2.95488,0.80166,1.14075,0.000537733,0.000537733,0.000537733
