epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1962.28,1.17816,2.36068,1.17821,1.59869,0.92687,0.81158,0.93689,0.61663,0.92783,0.81158,0.93638,0.57347,1.25267,1.94345,0.74074,1.71825,0.00065845,0.00065845,0.00065845
71,1989.46,1.13376,2.24922,1.09123,1.54548,0.88901,0.86954,0.94885,0.60701,0.85827,0.88282,0.93665,0.58486,1.27171,1.87581,0.7496,1.71312,0.0006535,0.0006535,0.0006535
72,2018.21,1.29342,2.36232,1.17333,1.66592,0.80471,0.79506,0.90292,0.56816,0.80471,0.79506,0.91202,0.55023,1.30561,1.81205,0.8933,1.76723,0.00064855,0.00064855,0.00064855
73,2046.52,1.30771,2.50839,1.21204,1.76285,0.8674,0.82917,0.94006,0.62319,0.8674,0.82917,0.94209,0.60775,1.26567,1.73406,0.71434,1.65575,0.0006436,0.0006436,0.0006436
74,2074.81,1.23104,2.50946,1.22078,1.62238,0.87036,0.83573,0.91293,0.56751,0.87036,0.83573,0.91651,0.50698,1.32583,2.03627,0.80877,1.63893,0.00063865,0.00063865,0.00063865
75,2105.57,1.18461,2.46491,1.19172,1.61071,0.77755,0.88479,0.94502,0.60006,0.77755,0.88479,0.95062,0.59083,1.2489,1.73419,0.80157,1.69486,0.0006337,0.0006337,0.0006337
76,2133.43,1.14883,2.34167,1.07962,1.59969,0.86819,0.90901,0.94611,0.6015,0.86819,0.90901,0.9476,0.61339,1.30932,1.65116,0.75518,1.77438,0.00062875,0.00062875,0.00062875
77,2164.79,1.22044,2.47281,1.25599,1.66555,0.91988,0.92674,0.951,0.57992,0.91988,0.92674,0.95154,0.58869,1.3107,1.69438,0.73021,1.76873,0.0006238,0.0006238,0.0006238
78,2193.3,1.18867,2.29602,1.11234,1.60844,0.92448,0.80972,0.94999,0.60284,0.92448,0.80972,0.94597,0.59349,1.30475,1.71494,0.88667,1.70179,0.00061885,0.00061885,0.00061885
79,2220.09,1.24318,2.28175,1.20804,1.6147,0.86885,0.79548,0.91125,0.59174,0.8641,0.80508,0.90507,0.57843,1.29329,1.78467,0.88569,1.74742,0.0006139,0.0006139,0.0006139
80,2247.27,1.15004,2.27551,1.09054,1.57086,0.94687,0.87446,0.96649,0.62111,0.94687,0.87446,0.958,0.6066,1.27877,1.66486,0.6676,1.69411,0.00060895,0.00060895,0.00060895
81,2275.35,1.15979,2.37154,1.06639,1.5986,0.94018,0.90251,0.97095,0.63526,0.9275,0.92175,0.95069,0.59865,1.28472,1.72326,0.69075,1.72995,0.000604,0.000604,0.000604
82,2301.44,1.16139,2.23515,1.10724,1.54749,0.83846,0.90601,0.94706,0.6089,0.81584,0.86882,0.91586,0.58669,1.32673,1.88924,0.74006,1.7575,0.00059905,0.00059905,0.00059905
83,2329.45,1.20664,2.32171,1.13044,1.61863,0.89517,0.93111,0.96032,0.63787,0.8522,0.93515,0.95257,0.60178,1.25427,1.75689,0.65148,1.64702,0.0005941,0.0005941,0.0005941
84,2354.34,1.09396,2.25876,1.09171,1.58196,0.8809,0.84083,0.94222,0.633,0.89514,0.85883,0.95,0.60858,1.22766,1.78862,0.7219,1.63774,0.00058915,0.00058915,0.00058915
85,2384.23,1.21861,2.37422,1.13499,1.62246,0.8185,0.86144,0.92742,0.6138,0.8741,0.78332,0.90819,0.59733,1.25004,1.82149,0.73361,1.6542,0.0005842,0.0005842,0.0005842
86,2411.55,1.11183,2.29896,1.07794,1.58896,0.89251,0.88177,0.94316,0.61786,0.89251,0.88177,0.94189,0.61967,1.28856,1.60924,0.7361,1.67486,0.00057925,0.00057925,0.00057925
87,2438.83,1.09571,2.17653,0.95406,1.5448,0.89567,0.90205,0.93033,0.61686,0.89567,0.90205,0.94309,0.61374,1.24629,1.64124,0.69068,1.65826,0.0005743,0.0005743,0.0005743
88,2468.14,1.14727,2.27849,1.08928,1.59638,0.91843,0.95238,0.96431,0.65852,0.91843,0.95238,0.9722,0.62291,1.1843,1.67776,0.64146,1.58115,0.00056935,0.00056935,0.00056935
89,2495.09,1.01004,2.01709,0.95153,1.45693,0.92359,0.94475,0.97496,0.67044,0.92359,0.94475,0.97779,0.64305,1.17753,1.64707,0.61156,1.56494,0.0005644,0.0005644,0.0005644
90,2521.81,1.12341,2.21315,1.04621,1.57781,0.94904,0.87618,0.96234,0.65615,0.94904,0.87618,0.94856,0.60707,1.17977,1.82563,0.63682,1.5911,0.00055945,0.00055945,0.00055945
91,2547.77,1.18877,2.33721,1.13017,1.59137,0.92427,0.90435,0.95133,0.65313,0.92975,0.90339,0.9449,0.60162,1.20649,1.70439,0.65377,1.60656,0.0005545,0.0005545,0.0005545
92,2578.24,1.16719,2.24919,1.04294,1.54501,0.88744,0.9179,0.9486,0.62488,0.88744,0.9179,0.95464,0.59201,1.19663,1.73124,0.64109,1.60123,0.00054955,0.00054955,0.00054955
93,2606.52,1.23036,2.18041,1.14771,1.63646,0.8721,0.91305,0.92388,0.61313,0.86707,0.89893,0.92094,0.59488,1.23603,1.65284,0.68742,1.64512,0.0005446,0.0005446,0.0005446
94,2635.2,1.13633,2.42893,1.10429,1.55542,0.84692,0.94929,0.96499,0.64466,0.93697,0.85516,0.95426,0.60745,1.21164,1.75315,0.66427,1.61657,0.00053965,0.00053965,0.00053965
95,2664.52,1.08782,2.19247,1.00984,1.51309,0.95524,0.81158,0.95341,0.65098,0.95524,0.81158,0.94765,0.61767,1.18795,1.69649,0.6551,1.5994,0.0005347,0.0005347,0.0005347
96,2692.47,1.10176,2.18638,1.01351,1.49261,0.93681,0.91305,0.97338,0.67759,0.93654,0.91111,0.97272,0.62015,1.1595,1.70525,0.57779,1.50694,0.00052975,0.00052975,0.00052975
